OG,FG,ABV,IBU,Color,BoilTime,BoilGravity,Efficiency,SugarScale,BrewMethod,PrimaryTemp,IsPils,SizeRatio
1.062,1.02,5.5,60.28,5.62,60,1.104,25.0,Specific Gravity,extract,15.56,True,0.6001056524035921
11.0274,1.66072,4.96,20.59,4.16,60,5.6,65.0,Plato,All Grain,14.44,True,1.9973614775725594
1.048,1.009,5.12,24.36,3.12,60,1.03,70.0,Specific Gravity,All Grain,10.0,True,1.6
1.129,1.035,12.37,77.25,14.22,90,1.065,35.0,Specific Gravity,extract,18.33,True,1.9973614775725594
1.044,1.012,4.21,40.29,5.07,60,1.035,65.0,Specific Gravity,BIAB,10.0,True,1.25
1.05,1.011,5.07,43.19,3.27,90,1.043,77.0,Specific Gravity,All Grain,12.0,True,1.16
1.051,1.014,4.8,42.14,4.35,90,1.042,65.0,Specific Gravity,All Grain,10.0,True,1.2
1.051,1.011,5.19,51.65,3.98,60,1.048,60.0,Specific Gravity,All Grain,15.0,True,1.0666666666666667
1.042,1.006,4.71,25.48,3.08,75,1.039,75.0,Specific Gravity,All Grain,12.0,True,1.0795454545454546
1.062,1.014,6.29,35.66,3.3,90,1.053,75.0,Specific Gravity,All Grain,10.0,True,1.1820365033621518
1.053,1.015,4.98,43.26,4.53,60,1.005,35.0,Specific Gravity,extract,10.0,True,0.5714285714285714
1.089,1.025,8.49,35.68,27.14,60,1.0759999999999998,72.0,Specific Gravity,All Grain,16.67,True,1.1668868339938352
1.051,1.012,5.12,68.96,5.47,60,1.046,70.0,Specific Gravity,All Grain,19.0,True,1.12
1.04,1.007,4.36,430.61,2.76,60,1.037,80.0,Specific Gravity,All Grain,22.22,True,1.0907780979827089
1.057,1.016,5.38,46.5,5.51,90,1.033,78.0,Specific Gravity,All Grain,16.11,True,1.717924528301887
1.047,1.01,4.77,38.39,3.34,60,1.033,70.0,Specific Gravity,All Grain,17.22,True,1.3998943475964079
1.045,1.008,4.89,25.18,4.19,60,1.037,65.0,Specific Gravity,All Grain,22.0,True,1.2
1.047,1.008,5.03,34.19,16.51,60,1.034,65.0,Specific Gravity,All Grain,10.0,True,1.3653846153846152
1.053,1.01,5.66,7.84,3.78,90,1.039,70.0,Specific Gravity,All Grain,12.78,True,1.3635926993275695
1.057,1.014,5.58,42.47,3.72,90,1.048,75.0,Specific Gravity,BIAB,10.0,True,1.1820365033621518
1.052,1.012,5.16,42.26,3.33,60,1.044,60.0,Specific Gravity,Partial Mash,10.0,True,1.1820365033621518
1.05,1.013,4.9,29.09,3.87,90,1.036,63.0,Specific Gravity,All Grain,10.0,True,1.369783412572636
1.05,1.012,5.06,40.22,3.88,90,1.044,85.0,Specific Gravity,All Grain,10.0,True,1.125
10.4548,1.95342,4.5,37.49,4.4,60,9.7,65.0,Plato,All Grain,18.0,True,1.0833333333333333
1.054,1.015,5.09,40.26,4.51,90,1.054,75.0,Specific Gravity,All Grain,20.0,True,1.0
1.053,1.011,5.5,25.55,3.73,60,1.039,70.0,Specific Gravity,All Grain,10.0,True,1.3635926993275695
1.05,1.013,4.87,34.43,3.72,90,1.032,70.0,Specific Gravity,All Grain,10.0,True,1.565217391304348
1.021,1.007,1.8,36.01,7.1,120,1.018,35.0,Specific Gravity,All Grain,20.0,True,1.1666666666666667
1.053,1.013,5.22,35.43,4.4,90,1.035,70.0,Specific Gravity,All Grain,8.89,True,1.4957221942627075
1.0490000000000002,1.015,4.51,31.95,3.25,60,1.038,65.0,Specific Gravity,All Grain,15.0,True,1.302325581395349
1.053,1.008,5.97,40.52,3.44,90,1.036,75.0,Specific Gravity,BIAB,12.22,True,1.4997358689910196
1.056,1.017,5.22,35.0,3.77,90,1.033,75.0,Specific Gravity,BIAB,11.0,True,0.75
1.052,1.013,5.1,16.76,5.82,78,1.052,58.0,Specific Gravity,All Grain,20.0,True,1.0
1.056,1.013,5.66,28.63,4.49,60,1.036,85.0,Specific Gravity,BIAB,12.78,True,1.5551643192488265
1.057,1.008,6.51,28.1,3.04,90,1.057,90.0,Specific Gravity,All Grain,10.0,True,1.0
1.058,1.017,5.3,28.53,3.71,60,1.05,70.0,Specific Gravity,All Grain,18.89,True,1.1575342465753424
1.055,1.016,5.15,39.13,3.4,90,1.044,72.0,Specific Gravity,All Grain,8.89,True,1.2728146013448607
1.052,1.013,5.15,43.87,6.53,90,1.044,65.0,Specific Gravity,All Grain,11.0,True,1.1833333333333333
1.05,1.011,5.05,28.6,3.75,90,1.038,63.0,Specific Gravity,All Grain,10.0,True,1.300052826201796
1.05,1.014,4.73,44.48,3.67,60,1.046,75.0,Specific Gravity,All Grain,10.0,True,1.0998415213946118
1.045,1.009,4.66,28.85,3.12,60,1.064,70.0,Specific Gravity,Partial Mash,13.89,True,0.7001321003963011
1.056,1.012,5.83,36.69,4.02,60,1.04,65.0,Specific Gravity,BIAB,10.0,True,1.3998943475964079
1.044,1.01,4.39,24.8,5.59,90,1.031,72.0,Specific Gravity,All Grain,18.0,True,1.425
1.045,1.011,4.55,28.64,3.11,60,1.037,75.0,Specific Gravity,All Grain,15.0,True,1.2222222222222223
16.9329,4.0381800000000005,7.04,47.41,6.08,90,13.2,72.0,Plato,All Grain,12.22,True,1.300052826201796
1.0490000000000002,1.012,4.85,42.06,4.41,60,1.0659999999999998,70.0,Specific Gravity,BIAB,10.0,True,0.75
1.062,1.012,6.56,101.8,12.24,60,1.062,60.0,Specific Gravity,Partial Mash,21.11,True,1.0
